"EVENT_SMAS_ID","TWR_EVENT_SMAS_SAMPLE_DATE","TWR_TEST_START_DATE","TWR_REPRODUCTIVE_RATE","TWR_REPRODUCTIVE_RATE_QLFR","TWR_REPRODUCTIVE_SIG","TWR_PCT_CTRL","TWR_PCT_CTRL_QLFR","TWR_PCT_SURVIVAL","TWR_PCT_SURVIVAL_QLFR","TWR_SURVIVAL_SIG","TWR_ASSESSMENT"
"10-PTNY-17.8","8/11/2004","8/13/2004","22.7",NA,"FALSE","100",NA,"100",NA,NA,"Non-toxic"
"10-METT-1.1","8/11/2004","8/13/2004","22.3",NA,"FALSE","99",NA,"100",NA,NA,"Non-toxic"
"10-MDBR-4.1","8/11/2004","8/13/2004","22.3",NA,"FALSE","99",NA,"100",NA,NA,"Non-toxic"
"10-WSBR-0.2","8/11/2004","8/13/2004","3.6",NA,"TRUE","16",NA,"30",NA,"TRUE","Severe"
"17-CARM-9.0","8/10/2004","8/13/2004","19.8",NA,"FALSE","96",NA,"100",NA,NA,"Non-toxic"
"17-MASS-1.2","8/10/2004","8/13/2004","21.9",NA,"FALSE","106",NA,"90",NA,NA,"Non-toxic"
"17-BVDC-0.1","8/10/2004","8/13/2004","24.8",NA,"FALSE","120",NA,"100",NA,NA,"Non-toxic"
"17-CONQ-1.6","8/10/2004","8/13/2004","26.8",NA,"FALSE","130",NA,"100",NA,NA,"Non-toxic"
"17-PECN-7.6","8/10/2004","8/13/2004","17.4",NA,"FALSE","85",NA,"100",NA,NA,"Non-toxic"
"17-MIAN-13.3","8/11/2004","8/13/2004","25.9",NA,"FALSE","126",NA,"100",NA,NA,"Non-toxic"
"17-BLND-3.4","8/11/2004","8/13/2004","24.2",NA,"FALSE","118",NA,"100",NA,NA,"Non-toxic"
"17-BRNX-5.6","8/11/2004","8/13/2004","22.1",NA,"FALSE","107",NA,"100",NA,NA,"Non-toxic"
"06-USSQ-149.8","9/20/2004","9/24/2004","18",NA,"FALSE","69",NA,"90",NA,NA,"Non-toxic"
"06-DILA-5.4","9/20/2004","9/24/2004","27.7",NA,"FALSE","107",NA,"100",NA,NA,"Non-toxic"
"06-NVUS-0.9","9/20/2004","9/24/2004","26.7",NA,"FALSE","103",NA,"100",NA,NA,"Non-toxic"
"06-BTNT-1.3","9/20/2004","9/24/2004","22",NA,"FALSE","85",NA,"100",NA,NA,"Non-toxic"
"10-GCHZ-6.6","9/28/2004","10/1/2004","32.1",NA,"FALSE","108",NA,"100",NA,NA,"Non-toxic"
"10-LCHZ-2.6","9/28/2004","10/1/2004","28.1",NA,"FALSE","94",NA,"90",NA,NA,"Non-toxic"
"10-CORB-0.8","9/28/2004","10/1/2004","29.3",NA,"FALSE","98",NA,"100",NA,NA,"Non-toxic"
"10-SARA-0.9","9/27/2004","10/1/2004","29.4",NA,"FALSE","99",NA,"100",NA,NA,"Non-toxic"
"10-BOQT-2.8","9/27/2004","10/1/2004","30",NA,"FALSE","101",NA,"100",NA,NA,"Non-toxic"
"10-SABL_W-25.6","9/27/2004","10/1/2004","30.9",NA,"FALSE","104",NA,"100",NA,NA,"Non-toxic"
"10-CADE-0.1","9/27/2004","10/1/2004","13.2",NA,"FALSE","44",NA,"90",NA,NA,"Non-toxic"
"10-LCHU-2.0","9/30/2004","10/1/2004","24.3",NA,"FALSE","82",NA,"100",NA,NA,"Non-toxic"
"10-PTNY-17.8","9/30/2004","10/1/2004","26.7",NA,"FALSE","90",NA,"100",NA,NA,"Non-toxic"
"10-METT-1.1","9/30/2004","10/1/2004","25.4",NA,"FALSE","85",NA,"100",NA,NA,"Non-toxic"
"10-MDBR-4.1","9/30/2004","10/1/2004","29.1",NA,"FALSE","98",NA,"100",NA,NA,"Non-toxic"
"10-WSBR-0.2","9/30/2004","10/1/2004","22.1",NA,"FALSE","74",NA,"100",NA,NA,"Non-toxic"
"17-CARM-9.0","9/27/2004","10/1/2004","31.1",NA,"FALSE","104",NA,"100",NA,NA,"Non-toxic"
"17-MASS-1.2","9/27/2004","10/1/2004","28.8",NA,"FALSE","97",NA,"100",NA,NA,"Non-toxic"
"17-BVDC-0.1","9/27/2004","10/1/2004","31.3",NA,"FALSE","105",NA,"100",NA,NA,"Non-toxic"
"17-CONQ-1.6","9/27/2004","10/1/2004","31.2",NA,"FALSE","105",NA,"100",NA,NA,"Non-toxic"
"17-PECN-7.6","9/27/2004","10/1/2004","31.9",NA,"FALSE","107",NA,"100",NA,NA,"Non-toxic"
"17-MIAN-13.3","9/27/2004","10/1/2004","34.2",NA,"FALSE","115",NA,"100",NA,NA,"Non-toxic"
