TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
03-SSAN-6.3,9/18/2013,1/7/2013,1/8/2014,80.81,,100,,Non-Toxic,Non-toxic
03-CATF-1.3,8/7/2012,12/18/2012,12/18/2012,16.1,,100,,Moderate,Non-toxic
03-MAD-2.5,8/17/2016,11/29/2016,11/30/2016,65.49,,100,,Non-toxic,Non-toxic
03-SKIN_T5-0.2,8/18/2016,11/29/2016,11/30/2016,79.18,,100,,Non-toxic,Non-toxic
03-SAND_T14-0.3,9/18/2013,1/7/2013,1/8/2014,52.58,,100,,Moderate,Non-toxic
03-ORWL-3.1,8/17/2016,11/29/2016,11/30/2016,60.49,,100,,Non-toxic,Non-toxic
03-BARA-11.5,8/17/2016,11/29/2016,11/30/2016,64.2,,100,,Non-toxic,Non-toxic
04-GENS-2.6,8/10/2010,8/25/2010,8/25/2010,51.08,,100,,Non-toxic,Non-toxic
04-GENS-2.6,9/27/2005,11/8/2005,11/9/2005,6.65,,100,,Moderate,Non-toxic
04-OATK-1.5,9/27/2005,11/8/2005,11/9/2005,2.37,,100,,Moderate,Non-toxic
04-OATK-46.2,7/29/2015,9/24/2015,9/25/2015,64.52,,100,,Slight,Non-toxic
04-HONY-9.6,9/14/2005,10/27/2005,10/28/2005,2.93,,100,,Moderate,Non-toxic
04-HONY-9.6,7/30/2015,9/24/2015,9/25/2015,68.03,,100,,Non-toxic,Non-toxic
04-LBLA-1.0,9/27/2005,11/8/2005,11/9/2005,6.68,,100,,Moderate,Non-toxic
04-BIDW-1.5,7/29/2015,9/24/2015,9/25/2015,48.32,,100,,Slight,Non-toxic
04-SPRG-2.5,7/30/2015,9/24/2015,9/25/2015,52.53,,100,,Slight,Non-toxic
04-BSPR-0.2,7/30/2015,9/24/2015,9/25/2015,44.64,,100,,Moderate,Non-toxic
04-RICM_T9-0.4,7/29/2015,9/24/2015,9/25/2015,65.48,,100,,Non-toxic,Non-toxic
04-LIMK-1.3,7/29/2015,9/24/2015,9/25/2015,68.29,,100,,Non-toxic,Non-toxic
04-UGNS-132.0,9/27/2005,11/8/2005,11/9/2005,1.55,,100,,Moderate,Non-toxic
04-CNEA-0.1,9/27/2005,11/8/2005,11/8/2005,21.98,,,,Slight,Insufficient Data
04-CLCK-0.2,8/11/2010,8/25/2010,8/25/2010,67.47,,100,,Non-toxic,Non-toxic
04-DYKE-0.3,9/27/2005,11/8/2005,11/9/2005,10.25,,100,,Moderate,Non-toxic
04-VCAM-0.4,8/11/2010,8/25/2010,8/25/2010,51.25,,100,,Non-toxic,Non-toxic
04-PHIP-0.1,8/11/2010,8/25/2010,8/25/2010,46.67,,100,,Non-toxic,Non-toxic
04-VANM-8.2,8/12/2010,8/25/2010,8/25/2010,18.97,,100,,Moderate,Non-toxic
04-PLBO-3.3,7/28/2015,9/24/2015,9/25/2015,76,,100,,Non-toxic,Non-toxic
04-CRAW-0.4,7/28/2015,9/24/2015,9/25/2015,47.17,,100,,Slight,Non-toxic
04-EKOY-1.9,9/27/2005,11/8/2005,11/9/2005,22.26,,100,,Slight,Non-toxic
04-RAGA-1.4,9/27/2005,11/8/2005,11/9/2005,2.19,,100,,Moderate,Non-toxic
04-RAGA-9.3,7/29/2015,9/24/2015,9/25/2015,54.29,,100,,Slight,Non-toxic
05-CDEA-1.8,8/9/2017,11/21/2017,11/21/2017,26.62,,100,,Moderate,Non-toxic
05-COHO-33.6,8/9/2017,11/21/2017,11/21/2017,32.66,,100,,Moderate,Non-toxic
05-GOFF-0.5,8/9/2017,11/21/2017,11/21/2017,28.37,,31.04,,Moderate,Toxic
05-HOFF-0.8,8/28/2017,11/21/2017,11/21/2017,100,,100,,Non-toxic,Non-toxic
05-MCHE-1.5,8/9/2017,11/21/2017,11/21/2017,60.63,,100,,Non-toxic,Non-toxic
05-MDCR-0.9,8/29/2017,11/21/2017,11/21/2017,66.06,,100,,Non-toxic,Non-toxic
05-MIGA-0.4,8/9/2017,11/21/2017,11/21/2017,29.94,,58.59,,Moderate,Toxic
05-STEO-28.7,8/9/2017,11/21/2017,11/21/2017,36.25,,53.64,,Moderate,Toxic
05-TRPS-9.5,8/9/2017,11/21/2017,11/21/2017,22.67,,73.76,,Moderate,Toxic
05-CHEM-5.4,9/3/2008,1/13/2008,1/16/2009,31.06,,100,,Slight,Non-toxic
05-NEWT-1.2,9/3/2008,1/13/2008,1/16/2009,34.65,,100,,Slight,Non-toxic
05-POSC-1.6,8/6/2013,1/7/2013,1/8/2014,77.8,,100,,Slight,Non-toxic
